V1: Wave,V4_CO: Family important (Colombia),V5_CO: Friends important (Colombia),V9_CO: Religion important (Colombia),V23: Most people can be trusted,V24: Active/Inactive membership of church or religious organization,V125: How much you trust: Your family (B)
5,1,2,1,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,2
5,1,3,1,2,2,1
5,2,2,2,2,0,1
5,1,2,2,2,0,1
5,2,2,1,2,1,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,1,2,1
5,1,2,2,2,2,1
5,1,2,2,2,2,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,1,1
5,2,2,1,2,0,1
5,1,2,2,2,1,1
5,1,2,2,2,0,1
5,1,1,1,2,2,1
5,1,2,1,2,1,1
5,1,2,1,2,1,1
5,1,2,2,2,1,1
5,1,3,1,2,0,1
5,1,2,1,2,1,1
5,1,1,1,2,1,1
5,1,1,1,2,1,2
5,1,1,2,1,0,1
5,1,2,2,2,1,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,1,2,2,1
5,1,3,2,2,0,1
5,2,2,1,2,2,2
5,1,2,1,2,0,1
5,1,2,1,2,2,1
5,1,2,1,1,0,1
5,1,2,3,2,0,1
5,1,2,1,2,0,1
5,1,3,2,2,0,1
5,1,2,2,2,0,2
5,1,2,2,2,0,1
5,1,1,1,1,0,1
5,1,2,1,2,0,1
5,1,2,1,2,2,1
5,1,2,1,2,2,1
5,1,2,1,1,2,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,3,2,2,0,1
5,1,1,2,2,0,1
5,1,2,1,2,0,1
5,1,3,2,2,1,1
5,1,2,1,2,0,1
5,1,2,2,2,2,1
5,1,1,1,2,0,1
5,1,2,1,1,2,1
5,1,2,1,1,2,1
5,1,2,2,2,0,1
5,1,2,3,2,0,2
5,1,1,3,2,0,1
5,1,2,2,2,0,1
5,2,2,3,2,0,1
5,2,2,2,1,0,1
5,2,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,1,2,0,1
5,2,2,1,2,0,1
5,1,2,2,1,0,1
5,1,2,2,2,0,1
5,1,1,1,2,1,1
5,1,2,2,2,2,1
5,1,2,1,2,2,1
5,1,2,2,2,0,1
5,2,2,3,2,0,1
5,1,2,2,2,0,1
5,1,3,1,2,1,1
5,2,2,2,2,2,2
5,1,2,2,2,1,1
5,1,2,2,2,2,2
5,1,2,2,1,1,1
5,1,2,1,2,1,1
5,1,1,2,2,0,1
5,1,2,2,1,1,2
5,1,3,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,2
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,2,2,2,2,0,1
5,1,1,2,2,1,1
5,1,1,2,2,0,1
5,1,1,2,1,2,1
5,1,2,2,1,1,1
5,1,2,2,2,0,1
5,1,2,1,2,0,2
5,1,2,2,1,0,1
5,1,2,2,2,0,2
5,1,3,1,2,2,1
5,1,2,1,1,0,1
5,1,2,2,2,1,2
5,2,2,2,2,1,1
5,1,2,2,2,0,1
5,1,1,1,2,1,1
5,2,2,2,2,1,1
5,1,1,1,2,2,1
5,2,2,2,2,2,1
5,1,1,2,1,0,1
5,1,1,3,2,0,1
5,1,1,2,2,2,1
5,1,1,1,2,0,1
5,1,2,1,1,2,1
5,2,2,2,2,0,1
5,1,2,2,1,0,1
5,1,2,1,1,1,1
5,1,1,1,1,2,1
5,1,2,1,1,1,1
5,1,2,1,1,2,1
5,1,2,1,2,2,1
5,1,1,2,2,1,1
5,1,2,1,2,1,1
5,1,1,2,2,1,1
5,1,2,1,1,1,1
5,1,1,2,1,1,1
5,1,2,1,1,1,1
5,1,2,2,1,1,1
5,1,1,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,2,1,1
5,1,1,1,1,1,1
5,1,2,2,1,1,1
5,1,2,1,1,1,1
5,1,1,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,1,1
5,1,2,2,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,2,1
5,1,2,2,1,1,1
5,1,3,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,1,1
5,1,2,1,1,1,1
5,1,2,2,1,0,1
5,1,2,1,2,1,1
5,1,2,2,2,1,1
5,1,1,1,2,1,1
5,1,1,1,2,1,1
5,1,2,2,2,0,2
5,1,1,1,2,0,1
5,1,2,2,2,0,1
5,1,2,2,1,0,1
5,2,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,1,2,1,2,1
5,1,2,3,2,0,1
5,2,2,3,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,3,1,2,2,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,1,2,2,0,1
5,2,2,2,2,0,1
5,1,2,2,2,0,1
5,2,2,2,1,0,1
5,1,1,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,1,2,2,0,1
5,1,2,2,2,0,1
5,1,2,2,2,0,1
5,1,2,1,2,0,1
5,1,2,2,2,0,1
5,1,3,2,2,0,3
5,1,2,3,2,1,1
5,1,2,2,2,1,1
5,1,2,1,2,1,1
5,1,2,2,1,1,1
5,1,1,2,1,1,1
5,1,2,2,2,2,1
5,1,3,2,2,1,1
5,1,2,2,2,2,1
5,2,2,2,2,0,1
5,1,2,3,2,0,1
5,1,3,2,2,0,1
5,1,2,1,2,0,2
5,1,2,1,2,1,1
5,1,2,1,2,1,1
5,1,2,1,2,2,2
5,1,2,2,2,1,1
5,1,2,1,2,1,1
5,1,2,2,2,0,1
5,1,2,1,2,1,1
5,1,-1,2,2,1,1
5,1,2,2,2,1,1
5,1,1,2,2,0,1
5,1,2,2,2,0,1
5,1,2,1,2,2,1
5,1,2,2,2,0,1
5,1,2,1,2,0,1
5,1,2,2,2,0,1
5,2,2,2,2,0,1
5,1,2,2,2,0,2
5,1,2,1,2,2,1
5,1,2,2,2,0,1
5,1,1,2,2,0,1
5,1,3,2,2,1,1
5,1,2,2,2,0,1
5,1,2,1,2,0,1
5,1,2,2,2,0,1
5,1,2,1,2,1,1
5,1,2,2,2,0,1
5,1,2,1,2,2,1
5,1,2,2,2,1,2
5,1,2,1,2,1,1
5,1,2,1,2,1,1
5,1,2,2,2,1,1
5,1,2,2,2,0,1
5,1,1,2,2,0,1
5,2,3,2,2,0,1
5,1,2,1,2,0,1
5,1,2,2,1,0,1
5,1,2,2,2,1,1
5,1,2,1,2,2,1
5,1,2,1,2,1,1
5,1,2,2,2,0,1
5,1,2,1,2,0,1
5,2,2,1,1,2,1
5,1,2,2,2,0,1
5,1,2,1,2,0,1
5,1,3,3,2,0,1
5,1,2,2,2,1,1
5,1,1,1,1,2,1
5,1,1,1,2,1,1
5,1,2,1,2,0,1
5,1,2,1,2,0,1
5,1,2,1,2,0,1
5,1,2,1,2,2,1
5,1,1,1,2,0,1
5,1,2,1,2,0,1
5,2,3,2,2,0,1
5,1,1,2,1,1,1
5,1,2,2,2,0,1
5,1,2,1,2,1,1
5,2,2,2,1,0,3
5,2,2,1,2,0,1
5,1,2,2,2,0,1
5,1,1,2,1,2,1
5,1,2,1,1,2,1
5,1,2,1,1,1,1
